Target,PepID
Acholeplasma_laidlawii,pep.0
Mycoplasma_gallisepticum,pep.0
Mycoplasma_mycoides,pep.0
Spiroplasma_citri,pep.0
Spiroplasma_floricola,pep.0
Acholeplasma_laidlawii,pep.1
Mycoplasma_fermentans,pep.1
Mycoplasma_hyorhinis,pep.1
Sinorhizobium_meliloti,pep.1
Acholeplasma_laidlawii,pep.2
Bacteroides_fragilis,pep.2
Clostridium_septicum,pep.2
Enterococcus_faecium,pep.2
Fusobacterium_varium,pep.2
Malassezia_furfur,pep.2
Mycoplasma_gallisepticum,pep.2
Mycoplasma_mycoides,pep.2
Prevotella_melaninogenica,pep.2
Saccharomyces_cerevisiae,pep.2
Spiroplasma_citri,pep.2
Spiroplasma_floricola,pep.2
Streptococcus_gordonii,pep.2
Streptococcus_salivarius,pep.2
Vibrio_vulnificus,pep.2
Acholeplasma_laidlawii,pep.3
Mycoplasma_gallisepticum,pep.3
Mycoplasma_mycoides,pep.3
Spiroplasma_citri,pep.3
Spiroplasma_floricola,pep.3
Acholeplasma_laidlawii,pep.4
Mycoplasma_gallisepticum,pep.4
Mycoplasma_mycoides,pep.4
Spiroplasma_citri,pep.4
Spiroplasma_floricola,pep.4
Acholeplasma_laidlawii,pep.5
Acholeplasma_laidlawii,pep.6
Acholeplasma_laidlawii,pep.7
Mycoplasma_gallisepticum,pep.7
Mycoplasma_genitalium,pep.7
Mycoplasma_mycoides,pep.7
Spiroplasma_apis,pep.7
Spiroplasma_citri,pep.7
Spiroplasma_floricola,pep.7
Acholeplasma_laidlawii,pep.8
Acholeplasma_laidlawii,pep.9
Achromobacter_xylosoxidans,pep.10
Achromobacter_xylosoxidans,pep.11
Actinomyces_naeslundii,pep.11
Aggregatibacter_actinomycetemcomitans,pep.11
Bibersteinia_trehalosi,pep.11
Candida_parapsilosis,pep.11
Fusobacterium_nucleatum,pep.11
Mannheimia_haemolytica,pep.11
Parvimonas_micra,pep.11
Pasteurella_multocida,pep.11
Pichia_kudriavzevii,pep.11
Porphyromonas_gingivalis,pep.11
Streptococcus_mutans,pep.11
Streptococcus_sanguinis,pep.11
Achromobacter_xylosoxidans,pep.12
Aeromonas_salmonicida,pep.12
Campylobacter_jejuni,pep.12
Flavobacterium_psychrophilum,pep.12
Yersinia_ruckeri,pep.12
Achromobacter_xylosoxidans,pep.13
Pseudomonas_fluorescens,pep.13
Pseudomonas_stutzeri,pep.13
Achromobacter_xylosoxidans,pep.14
Pseudomonas_stutzeri,pep.14
Stenotrophomonas_maltophilia,pep.14
Achromobacter_xylosoxidans,pep.15
Pseudomonas_stutzeri,pep.15
Achromobacter_xylosoxidans,pep.16
Pseudomonas_stutzeri,pep.16
Achromobacter_xylosoxidans,pep.17
Porphyromonas_gingivalis,pep.17
Streptococcus_gordonii,pep.17
Achromobacter_xylosoxidans,pep.18
Pseudomonas_stutzeri,pep.18
Achromobacter_xylosoxidans,pep.19
Acinetobacter_baumannii,pep.20
Cryptococcus_neoformans,pep.20
Enterococcus_faecalis,pep.20
Escherichia_coli,pep.20
Staphylococcus_aureus,pep.20
Staphylococcus_epidermidis,pep.20
Acinetobacter_baumannii,pep.21
Candida_tropicalis,pep.21
Corynebacterium_glutamicum,pep.21
Cryptococcus_neoformans,pep.21
Klebsiella_oxytoca,pep.21
Klebsiella_pneumoniae,pep.21
Kluyveromyces_marxianus,pep.21
Porphyromonas_gingivalis,pep.21
Acinetobacter_baumannii,pep.22
Cryptococcus_neoformans,pep.22
Fusarium_solani,pep.22
Kluyveromyces_marxianus,pep.22
Acinetobacter_baumannii,pep.23
Enterococcus_faecalis,pep.23
Acinetobacter_baumannii,pep.24
Aeromonas_salmonicida,pep.24
Aspergillus_niger,pep.24
Candida_tropicalis,pep.24
Citrobacter_freundii,pep.24
Enterobacter_aerogenes,pep.24
Enterobacter_cloacae,pep.24
Moraxella_catarrhalis,pep.24
Shigella_sonnei,pep.24
Stenotrophomonas_maltophilia,pep.24
Acinetobacter_baumannii,pep.25
Acinetobacter_baumannii,pep.26
Enterobacter_cloacae,pep.26
Klebsiella_pneumoniae,pep.26
Acinetobacter_baumannii,pep.27
Enterobacter_cloacae,pep.27
Klebsiella_pneumoniae,pep.27
Acinetobacter_baumannii,pep.28
Acinetobacter_baumannii,pep.29
Enterobacter_cloacae,pep.29
Acinetobacter_calcoaceticus,pep.30
Citrobacter_freundii,pep.30
Klebsiella_oxytoca,pep.30
Pichia_kudriavzevii,pep.30
Acinetobacter_calcoaceticus,pep.31
Corynebacterium_jeikeium,pep.31
Streptococcus_mitis,pep.31
Streptococcus_pneumoniae,pep.31
Acinetobacter_calcoaceticus,pep.32
Acinetobacter_calcoaceticus,pep.33
Corynebacterium_jeikeium,pep.33
Streptococcus_pyogenes,pep.33
Acinetobacter_calcoaceticus,pep.34
Corynebacterium_jeikeium,pep.34
Streptococcus_mitis,pep.34
Streptococcus_pneumoniae,pep.34
Streptococcus_pyogenes,pep.34
Acinetobacter_calcoaceticus,pep.35
Corynebacterium_jeikeium,pep.35
Streptococcus_mitis,pep.35
Streptococcus_pneumoniae,pep.35
Acinetobacter_calcoaceticus,pep.36
Corynebacterium_jeikeium,pep.36
Acinetobacter_calcoaceticus,pep.37
Aspergillus_nidulans,pep.37
Bacillus_cereus,pep.37
Acinetobacter_calcoaceticus,pep.38
Staphylococcus_sciuri,pep.38
Acinetobacter_calcoaceticus,pep.39
Acinetobacter_johnsonii,pep.40
Bacillus_cereus,pep.40
Acinetobacter_johnsonii,pep.41
Acinetobacter_johnsonii,pep.42
Acinetobacter_johnsonii,pep.43
Acinetobacter_johnsonii,pep.44
Acinetobacter_johnsonii,pep.45
Acinetobacter_johnsonii,pep.46
Acinetobacter_junii,pep.47
Acinetobacter_junii,pep.48
Acinetobacter_junii,pep.49
Acinetobacter_junii,pep.50
Staphylococcus_capitis,pep.50
Yersinia_pseudotuberculosis,pep.50
Acinetobacter_junii,pep.51
Staphylococcus_capitis,pep.51
Yersinia_pseudotuberculosis,pep.51
Acinetobacter_junii,pep.52
Acinetobacter_junii,pep.53
Yersinia_pseudotuberculosis,pep.53
Acinetobacter_junii,pep.54
Schizosaccharomyces_pombe,pep.54
Staphylococcus_capitis,pep.54
Yersinia_pseudotuberculosis,pep.54
Acinetobacter_junii,pep.55
Acinetobacter_junii,pep.56
Actinomyces_naeslundii,pep.57
Lactobacillus_acidophilus,pep.57
Lactobacillus_casei,pep.57
Lactobacillus_fermentum,pep.57
Streptococcus_gordonii,pep.57
Streptococcus_salivarius,pep.57
Streptococcus_sanguinis,pep.57
Streptococcus_sobrinus,pep.57
Actinomyces_naeslundii,pep.58
Lactobacillus_acidophilus,pep.58
Lactobacillus_casei,pep.58
Lactobacillus_fermentum,pep.58
Sporothrix_schenckii,pep.58
Streptococcus_gordonii,pep.58
Streptococcus_sanguinis,pep.58
Streptococcus_sobrinus,pep.58
Actinomyces_naeslundii,pep.59
Lactobacillus_acidophilus,pep.59
Lactobacillus_casei,pep.59
Lactobacillus_fermentum,pep.59
Aerococcus_viridans,pep.60
Bacillus_megaterium,pep.60
Aerococcus_viridans,pep.61
Aerococcus_viridans,pep.62
Pediococcus_acidilactici,pep.62
Aerococcus_viridans,pep.63
Zobellia_galactanivorans,pep.63
Aerococcus_viridans,pep.64
Botrytis_cinerea,pep.64
Neurospora_crassa,pep.64
Pediococcus_acidilactici,pep.64
Aerococcus_viridans,pep.65
Botrytis_cinerea,pep.65
Citrobacter_freundii,pep.65
Fusarium_culmorum,pep.65
Neurospora_crassa,pep.65
Pediococcus_acidilactici,pep.65
Shigella_flexneri,pep.65
Aerococcus_viridans,pep.66
Botrytis_cinerea,pep.66
Fusarium_culmorum,pep.66
Neurospora_crassa,pep.66
Aerococcus_viridans,pep.67
Alcaligenes_faecalis,pep.67
Fusarium_culmorum,pep.67
Neurospora_crassa,pep.67
Pectobacterium_carotovorum,pep.67
Staphylococcus_saprophyticus,pep.67
Streptococcus_pyogenes,pep.67
Xanthomonas_campestris,pep.67
Aerococcus_viridans,pep.68
Alcaligenes_faecalis,pep.68
Fusarium_culmorum,pep.68
Pectobacterium_carotovorum,pep.68
Xanthomonas_campestris,pep.68
Aerococcus_viridans,pep.69
Aeromonas_caviae,pep.70
Microsporum_canis,pep.70
Nocardia_brasiliensis,pep.70
Aeromonas_caviae,pep.71
Microsporum_canis,pep.71
Nocardia_brasiliensis,pep.71
Aeromonas_caviae,pep.72
Nocardia_brasiliensis,pep.72
Aeromonas_caviae,pep.73
Nocardia_brasiliensis,pep.73
Aeromonas_caviae,pep.74
Nocardia_brasiliensis,pep.74
Aeromonas_caviae,pep.75
Aeromonas_caviae,pep.76
Aeromonas_caviae,pep.77
Nocardia_brasiliensis,pep.77
Aeromonas_caviae,pep.78
Microsporum_canis,pep.78
Nocardia_brasiliensis,pep.78
Trichophyton_rubrum,pep.78
Aeromonas_caviae,pep.79
Leishmania_major,pep.79
Microsporum_canis,pep.79
Aeromonas_hydrophila,pep.80
Lactococcus_garvieae,pep.80
Streptococcus_iniae,pep.80
Aeromonas_hydrophila,pep.81
Edwardsiella_tarda,pep.81
Streptococcus_agalactiae,pep.81
Vibrio_vulnificus,pep.81
Aeromonas_hydrophila,pep.82
Lactococcus_garvieae,pep.82
Streptococcus_iniae,pep.82
Vibrio_anguillarum,pep.82
Aeromonas_hydrophila,pep.83
Pseudomonas_fluorescens,pep.83
Pseudomonas_stutzeri,pep.83
Shigella_flexneri,pep.83
Aeromonas_hydrophila,pep.84
Aeromonas_veronii,pep.84
Edwardsiella_tarda,pep.84
Klebsiella_oxytoca,pep.84
Proteus_mirabilis,pep.84
Shigella_dysenteriae,pep.84
Vibrio_vulnificus,pep.84
Aeromonas_hydrophila,pep.85
Aeromonas_hydrophila,pep.86
Pseudomonas_stutzeri,pep.86
Aeromonas_hydrophila,pep.87
Aeromonas_hydrophila,pep.88
Aeromonas_hydrophila,pep.89
Bacillus_pumilus,pep.89
Edwardsiella_tarda,pep.89
Pseudomonas_fluorescens,pep.89
Aeromonas_salmonicida,pep.90
Vibrio_anguillarum,pep.90
Aeromonas_salmonicida,pep.91
Aeromonas_salmonicida,pep.92
Aeromonas_salmonicida,pep.93
Aeromonas_salmonicida,pep.94
Aeromonas_salmonicida,pep.95
Aeromonas_salmonicida,pep.96
Aeromonas_salmonicida,pep.97
Aspergillus_flavus,pep.97
Aspergillus_niger,pep.97
Enterobacter_aerogenes,pep.97
Klebsiella_oxytoca,pep.97
Lactobacillus_acidophilus,pep.97
Lactobacillus_fermentum,pep.97
Malassezia_furfur,pep.97
Pasteurella_haemolytica,pep.97
Streptococcus_gordonii,pep.97
Streptococcus_sobrinus,pep.97
Vibrio_anguillarum,pep.97
Aeromonas_veronii,pep.98
Proteus_mirabilis,pep.98
Vibrio_anguillarum,pep.98
Aeromonas_veronii,pep.99
Proteus_mirabilis,pep.99
Vibrio_cholerae,pep.99
Aeromonas_veronii,pep.100
Proteus_mirabilis,pep.100
Aggregatibacter_actinomycetemcomitans,pep.101
Aggregatibacter_actinomycetemcomitans,pep.102
Aggregatibacter_actinomycetemcomitans,pep.103
Alcaligenes_faecalis,pep.104
Alcaligenes_faecalis,pep.105
Alcaligenes_faecalis,pep.106
Aspergillus_flavus,pep.106
Beauveria_bassiana,pep.106
Providencia_rettgeri,pep.106
Tetragenococcus_halophilus,pep.106
Alcaligenes_faecalis,pep.107
Alcaligenes_faecalis,pep.108
Bacillus_subtilis,pep.108
Micrococcus_luteus,pep.108
Staphylococcus_aureus,pep.108
Alcaligenes_faecalis,pep.109
Alcaligenes_faecalis,pep.110
Dermacoccus_nishinomiyaensis,pep.110
Haemophilus_influenzae,pep.110
Alcaligenes_faecalis,pep.111
Arthrobacter,pep.112
Aspergillus_flavus,pep.113
Aspergillus_fumigatus,pep.113
Aspergillus_niger,pep.113
Campylobacter_jejuni,pep.113
Helicobacter_pylori,pep.113
Shigella_flexneri,pep.113
Shigella_sonnei,pep.113
Aspergillus_flavus,pep.114
Malassezia_furfur,pep.114
Aspergillus_flavus,pep.115
Aspergillus_niger,pep.115
Campylobacter_jejuni,pep.115
Helicobacter_pylori,pep.115
Aspergillus_flavus,pep.116
